RuleFit Results  (223 XGBoost-selected features: 31 ctx + 192 diff)
Accuracy: 0.5873  |  Weighted Acc: 0.6441  |  F1: 0.4352  |  AUC: 0.7624
Non-zero terms: 385  (162 rules, 223 linear terms)

Rank  Type           Coef   Importance   Support  Rule
316   rule        +0.0105       0.0045     0.750  diff_1213_intense negative emotions > -0.51481
317   rule        +0.0093       0.0045     0.360  diff_1389_past events > -1.65014 and diff_2007_numerical time durations > -0.00817 and diff_2135_areas for improvement or concern <= 0.66168 and diff_11566_analogy > -1.25447 and diff_107_dialog starters <= 0.55595 and diff_604_harmful unethical behavior <= 0.33699
318   linear      +0.0045       0.0043     1.000  diff_83
319   rule        +0.0334       0.0042     0.016  diff_1531_discovery and revelation > -0.20843 and diff_27_pigs explode > 1.16614 and diff_61 <= -0.47907
320   rule        +0.0124       0.0042     0.132  diff_926_they > 0.52074 and diff_2135_areas for improvement or concern > -0.71752 and diff_2390_images > -1.12112 and diff_11052_How to write clickbait titles <= 0.34669
321   rule        +0.0471       0.0042     0.008  diff_1212 > 1.32955 and diff_1389_past events > -1.15798 and diff_5439_offensive content <= -1.29106
322   rule        -0.0129       0.0041     0.884  diff_1234_direct, personal, necessity <= 1.73989 and diff_1531_discovery and revelation <= 1.63358
323   linear      +0.0042       0.0041     1.000  ctx_656_list of items
324   rule        -0.0104       0.0040     0.183  diff_1389_past events > -1.57711 and diff_2193_tragic and horrific events <= -0.26928
325   rule        -0.0130       0.0040     0.894  diff_1115_describing people or animals <= 1.13098
326   rule        -0.0129       0.0039     0.895  diff_1440 > -1.2664
327   rule        +0.0125       0.0039     0.109  diff_1213_intense negative emotions <= -1.05667 and diff_2223_past actions or events <= 0.73907
328   linear      +0.0037       0.0036     1.000  ctx_4153_roles and actions
329   rule        +0.0243       0.0034     0.020  diff_223 <= -2.2265
330   linear      -0.0035       0.0034     1.000  diff_6863_boundingVolume and bindingMode.OneWay
331   linear      +0.0036       0.0032     1.000  diff_5878_attractive, sexy, gorgeous
332   rule        -0.0206       0.0031     0.023  diff_1497_question mark > -0.56395 and diff_2135_areas for improvement or concern <= 0.59155 and diff_49_positive evaluations > -0.75111 and diff_606 > 1.89583
333   rule        -0.0074       0.0030     0.793  diff_4292_units per item > -0.82843 and diff_12614_regex questions and explanations > -1.50654
334   linear      +0.0033       0.0030     1.000  diff_1961_Health and Human Services
335   rule        -0.0092       0.0030     0.882  diff_133_a dialogue > -1.55426 and diff_506 > -1.76472
336   linear      -0.0031       0.0029     1.000  diff_729
337   rule        +0.0111       0.0029     0.927  diff_1234_direct, personal, necessity <= 1.56109
338   linear      +0.0031       0.0028     1.000  diff_644
339   rule        -0.0072       0.0027     0.169  diff_2695_compelling and crucial appeal <= -0.01214
340   rule        +0.0101       0.0026     0.069  diff_1213_intense negative emotions <= -1.44085
341   linear      -0.0027       0.0025     1.000  diff_5164_systems, modes, steps, speed
342   rule        +0.0080       0.0025     0.109  diff_1389_past events > -1.57711 and diff_1531_discovery and revelation > 0.4797 and diff_2193_tragic and horrific events > -0.26928
343   linear      -0.0026       0.0025     1.000  diff_4276_full viewport, cluster sampling, quantitative CMR, main loop
344   rule        -0.0067       0.0025     0.162  diff_1234_direct, personal, necessity <= -0.33207 and diff_223 > -2.2265
345   linear      -0.0027       0.0024     1.000  ctx_2878_verbs, actions, or states
346   rule        +0.0051       0.0024     0.339  diff_1279 <= 1.32312 and diff_1455 <= 1.46423 and diff_5439_offensive content > -1.02804 and diff_242 > 0.00284
347   rule        +0.0086       0.0024     0.917  diff_1032_scenes and vehicles <= 1.45397
348   rule        +0.0051       0.0023     0.269  diff_643_"of" followed by specific titles/concepts <= 0.00806 and diff_4053_joke, humor, comedy > -0.62015 and diff_8878_things or anything <= 0.27142 and diff_12614_regex questions and explanations <= 0.00701 and diff_224 <= 0.5091
349   rule        -0.0073       0.0022     0.105  diff_1440 <= -1.2664
350   linear      -0.0022       0.0020     1.000  diff_223
351   linear      -0.0020       0.0020     1.000  ctx_258
352   linear      +0.0023       0.0019     1.000  diff_707
353   linear      -0.0020       0.0019     1.000  diff_414_quantities and amounts
354   linear      +0.0019       0.0019     1.000  ctx_9410_Empowering, Shaping, Culture, Medina
355   linear      +0.0019       0.0017     1.000  ctx_532_abstract noun followed by possessive
356   rule        +0.0044       0.0017     0.809  diff_746 <= 0.92668 and diff_1213_intense negative emotions > -1.44085
357   rule        -0.0063       0.0017     0.077  diff_890 > -0.58948 and ctx_1372_question starting phrases <= 2.47419 and diff_1497_question mark > -0.56058 and diff_3669_video content and analysis > -1.21318 and diff_444_values, feelings, judgments <= -0.62152
358   linear      -0.0025       0.0017     1.000  diff_1224_YouTube platform
359   rule        +0.0046       0.0016     0.141  diff_2223_past actions or events > 0.73907
360   rule        -0.0064       0.0016     0.066  diff_133_a dialogue <= -1.55426 and diff_506 > -1.76472
361   linear      -0.0017       0.0016     1.000  diff_2543
362   rule        +0.0046       0.0016     0.128  diff_1389_past events <= -1.15798
363   linear      +0.0016       0.0015     1.000  diff_351
364   rule        -0.0039       0.0014     0.838  diff_1389_past events <= 1.03899
365   linear      +0.0019       0.0014     1.000  diff_191_for a duration
366   rule        -0.0048       0.0014     0.094  diff_1531_discovery and revelation > 1.43912
367   linear      -0.0014       0.0013     1.000  ctx_4549_betrayed and lost
368   linear      -0.0013       0.0012     1.000  diff_5327_topic categories
369   rule        +0.0034       0.0012     0.856  diff_538_regulation, risk, and governance <= 1.06093
370   rule        -0.0033       0.0012     0.149  diff_2695_compelling and crucial appeal > 0.38699
371   linear      -0.0012       0.0011     1.000  diff_634_individuals or organizations
372   rule        +0.0055       0.0010     0.036  diff_120 > 2.42282
373   linear      +0.0010       0.0010     1.000  diff_484_positive sentiment words
374   linear      -0.0010       0.0009     1.000  diff_107_dialog starters
375   rule        +0.0023       0.0009     0.200  diff_1115_describing people or animals > 0.58161
376   linear      +0.0009       0.0009     1.000  diff_1213_intense negative emotions
377   rule        -0.0017       0.0007     0.767  diff_2695_compelling and crucial appeal > -0.01214 and diff_510 > -1.12689
378   rule        +0.0018       0.0007     0.847  diff_2193_tragic and horrific events > -1.1589
379   linear      -0.0007       0.0006     1.000  diff_955_already exists
380   rule        +0.0012       0.0006     0.655  diff_976_bad character judgments > -0.37366 and diff_296 > -1.65331 and diff_444_values, feelings, judgments > -0.60664
381   rule        +0.0015       0.0005     0.847  diff_1032_scenes and vehicles <= 1.17098
382   linear      +0.0004       0.0004     1.000  ctx_11528_states of being satisfied or unsatisfied
383   rule        +0.0012       0.0003     0.083  diff_1032_scenes and vehicles > 1.45397
384   linear      -0.0002       0.0002     1.000  diff_3499_numerical quantities and units
385   rule        +0.0007       0.0001     0.964  diff_120 <= 2.42282
